[2.1, 0.26]:task over, the time is 15.000000, and the loss is :20.094975
[2.1, 0.27]:task over, the time is 15.032000, and the loss is :13.660864
[2.1, 0.28]:task over, the time is 15.032000, and the loss is :15.149413
[2.1, 0.29]:task over, the time is 15.032000, and the loss is :20.068717
[2.1, 0.3]:task over, the time is 15.032000, and the loss is :13.646607
[2.1, 0.31]:task over, the time is 15.000000, and the loss is :15.333567
[2.1, 0.32]:task over, the time is 15.000000, and the loss is :19.826393
[2.1, 0.33]:task over, the time is 15.000000, and the loss is :22.002558
[2.1, 0.33999999999999997]:task over, the time is 15.032000, and the loss is :14.386043
[2.1, 0.35]:task over, the time is 15.030000, and the loss is :12.421546
[2.1, 0.36]:task over, the time is 15.000000, and the loss is :18.380838
[2.1, 0.37]:task over, the time is 15.000000, and the loss is :15.090083
[2.1, 0.38]:task over, the time is 15.000000, and the loss is :20.639060
[2.1, 0.39]:task over, the time is 15.000000, and the loss is :17.774080
[2.1, 0.4]:task over, the time is 15.032000, and the loss is :21.652691
[2.1, 0.41000000000000003]:task over, the time is 15.000000, and the loss is :19.535566
[2.1, 0.42000000000000004]:task over, the time is 15.000000, and the loss is :15.088382
[2.1, 0.43]:task over, the time is 15.032000, and the loss is :21.401553
[2.1, 0.44]:task over, the time is 15.000000, and the loss is :14.440719
[2.2, 0.26]:task over, the time is 15.002000, and the loss is :21.895942
[2.2, 0.27]:task over, the time is 15.032000, and the loss is :26.427588
[2.2, 0.28]:task over, the time is 15.032000, and the loss is :16.133249
[2.2, 0.29]:task over, the time is 15.000000, and the loss is :22.323125
[2.2, 0.3]:task over, the time is 15.000000, and the loss is :14.330980
[2.2, 0.31]:task over, the time is 15.000000, and the loss is :24.544784
[2.2, 0.32]:task over, the time is 15.000000, and the loss is :11.139825
[2.2, 0.33]:task over, the time is 15.000000, and the loss is :16.153888
[2.2, 0.33999999999999997]:task over, the time is 15.032000, and the loss is :17.213427
[2.2, 0.35]:task over, the time is 15.000000, and the loss is :14.370143
[2.2, 0.36]:task over, the time is 15.000000, and the loss is :18.397248
[2.2, 0.37]:task over, the time is 15.030000, and the loss is :17.153745
[2.2, 0.38]:task over, the time is 15.032000, and the loss is :19.411121
[2.2, 0.39]:task over, the time is 15.000000, and the loss is :24.888172
[2.2, 0.4]:task over, the time is 15.000000, and the loss is :11.750830
[2.2, 0.41000000000000003]:task over, the time is 15.000000, and the loss is :13.475879
[2.2, 0.42000000000000004]:task over, the time is 15.000000, and the loss is :15.978775
[2.2, 0.43]:task over, the time is 15.000000, and the loss is :15.444746
[2.2, 0.44]:task over, the time is 15.000000, and the loss is :17.168101
[2.3, 0.26]:task over, the time is 15.032000, and the loss is :20.503623
[2.3, 0.27]:task over, the time is 15.000000, and the loss is :16.694877
[2.3, 0.28]:task over, the time is 15.000000, and the loss is :15.847515
[2.3, 0.29]:task over, the time is 15.000000, and the loss is :12.524936
[2.3, 0.3]:task over, the time is 15.030000, and the loss is :16.858232
[2.3, 0.31]:task over, the time is 15.000000, and the loss is :10.665623
[2.3, 0.32]:task over, the time is 15.000000, and the loss is :15.157572
[2.3, 0.33]:task over, the time is 15.000000, and the loss is :17.612020
[2.3, 0.33999999999999997]:task over, the time is 15.000000, and the loss is :24.206580
[2.3, 0.35]:task over, the time is 15.000000, and the loss is :17.459864
[2.3, 0.36]:task over, the time is 15.032000, and the loss is :14.260295
[2.3, 0.37]:task over, the time is 15.002000, and the loss is :11.705425
[2.3, 0.38]:task over, the time is 15.032000, and the loss is :16.868077
[2.3, 0.39]:task over, the time is 15.000000, and the loss is :17.372506
[2.3, 0.4]:task over, the time is 15.000000, and the loss is :15.843668
[2.3, 0.41000000000000003]:task over, the time is 15.000000, and the loss is :17.733307
[2.3, 0.42000000000000004]:task over, the time is 15.000000, and the loss is :13.021025
[2.3, 0.43]:task over, the time is 15.030000, and the loss is :16.486463
[2.3, 0.44]:task over, the time is 15.000000, and the loss is :19.192370
[2.4, 0.26]:task over, the time is 15.000000, and the loss is :15.807500
[2.4, 0.27]:task over, the time is 15.000000, and the loss is :17.433568
[2.4, 0.28]:task over, the time is 15.000000, and the loss is :13.069314
[2.4, 0.29]:task over, the time is 15.000000, and the loss is :22.947396
[2.4, 0.3]:task over, the time is 15.000000, and the loss is :18.698933
[2.4, 0.31]:task over, the time is 15.000000, and the loss is :22.117871
[2.4, 0.32]:task over, the time is 15.000000, and the loss is :19.412050
[2.4, 0.33]:task over, the time is 15.032000, and the loss is :15.462322
[2.4, 0.33999999999999997]:task over, the time is 15.032000, and the loss is :13.808197
[2.4, 0.35]:task over, the time is 15.032000, and the loss is :16.039183
[2.4, 0.36]:task over, the time is 15.032000, and the loss is :17.567021
[2.4, 0.37]:task over, the time is 15.032000, and the loss is :14.400477
[2.4, 0.38]:task over, the time is 15.030000, and the loss is :17.798334
[2.4, 0.39]:task over, the time is 15.000000, and the loss is :23.947249
[2.4, 0.4]:task over, the time is 15.000000, and the loss is :21.978788
[2.4, 0.41000000000000003]:task over, the time is 15.032000, and the loss is :12.523310
[2.4, 0.42000000000000004]:task over, the time is 15.032000, and the loss is :12.706515
[2.4, 0.43]:task over, the time is 15.000000, and the loss is :14.488442
[2.4, 0.44]:task over, the time is 15.030000, and the loss is :21.095091
[2.5, 0.26]:task over, the time is 15.032000, and the loss is :19.810966
[2.5, 0.27]:task over, the time is 15.000000, and the loss is :23.429019
[2.5, 0.28]:task over, the time is 15.000000, and the loss is :15.130912
[2.5, 0.29]:task over, the time is 15.032000, and the loss is :24.876362
[2.5, 0.3]:task over, the time is 15.000000, and the loss is :18.365632
[2.5, 0.31]:task over, the time is 15.000000, and the loss is :19.590839
[2.5, 0.32]:task over, the time is 15.000000, and the loss is :18.139685
[2.5, 0.33]:task over, the time is 15.030000, and the loss is :12.967686
[2.5, 0.33999999999999997]:task over, the time is 15.034000, and the loss is :24.266147
[2.5, 0.35]:task over, the time is 15.032000, and the loss is :12.477958
[2.5, 0.36]:task over, the time is 15.000000, and the loss is :14.675313
[2.5, 0.37]:task over, the time is 15.030000, and the loss is :19.158367
