[2.2, 0.32]:task over, the time is 15.000000, and the loss is :553.366071
[2.2, 0.33999999999999997]:task over, the time is 15.000000, and the loss is :558.699200
[2.2, 0.36]:task over, the time is 15.032000, and the loss is :645.969070
[2.2, 0.38]:task over, the time is 15.032000, and the loss is :462.583559
[2.2, 0.4]:task over, the time is 15.000000, and the loss is :472.852242
[2.2, 0.42]:task over, the time is 15.030000, and the loss is :490.892318
[2.2, 0.44]:task over, the time is 15.032000, and the loss is :516.555961
[2.2, 0.45999999999999996]:task over, the time is 15.032000, and the loss is :544.201892
[2.2, 0.48]:task over, the time is 15.000000, and the loss is :602.964509
[2.2, 0.5]:task over, the time is 15.030000, and the loss is :530.476096
[2.2, 0.52]:task over, the time is 15.032000, and the loss is :625.705437
[2.2, 0.54]:task over, the time is 15.032000, and the loss is :532.955855
[2.2, 0.56]:task over, the time is 15.030000, and the loss is :605.387553
[2.2, 0.5800000000000001]:task over, the time is 15.032000, and the loss is :659.296577
[2.4, 0.32]:task over, the time is 15.032000, and the loss is :497.061364
[2.4, 0.33999999999999997]:task over, the time is 15.030000, and the loss is :538.261701
[2.4, 0.36]:task over, the time is 15.032000, and the loss is :505.630873
[2.4, 0.38]:task over, the time is 15.030000, and the loss is :499.074668
[2.4, 0.4]:task over, the time is 15.000000, and the loss is :466.541233
[2.4, 0.42]:task over, the time is 15.032000, and the loss is :502.376690
[2.4, 0.44]:task over, the time is 15.032000, and the loss is :593.350561
[2.4, 0.45999999999999996]:task over, the time is 15.000000, and the loss is :473.280305
[2.4, 0.48]:task over, the time is 15.000000, and the loss is :509.317958
[2.4, 0.5]:task over, the time is 15.032000, and the loss is :488.168104
[2.4, 0.52]:task over, the time is 15.030000, and the loss is :559.544340
[2.4, 0.54]:task over, the time is 15.032000, and the loss is :625.123574
[2.4, 0.56]:task over, the time is 15.032000, and the loss is :676.865414
[2.4, 0.5800000000000001]:task over, the time is 15.030000, and the loss is :639.037526
[2.6, 0.32]:task over, the time is 15.032000, and the loss is :499.712305
[2.6, 0.33999999999999997]:task over, the time is 15.000000, and the loss is :611.835750
[2.6, 0.36]:task over, the time is 15.000000, and the loss is :497.467242
[2.6, 0.38]:task over, the time is 15.032000, and the loss is :474.433337
[2.6, 0.4]:task over, the time is 15.030000, and the loss is :477.634009
[2.6, 0.42]:task over, the time is 15.032000, and the loss is :481.528908
[2.6, 0.44]:task over, the time is 15.032000, and the loss is :461.218440
[2.6, 0.45999999999999996]:task over, the time is 15.030000, and the loss is :692.750880
[2.6, 0.48]:task over, the time is 15.032000, and the loss is :567.568769
[2.6, 0.5]:task over, the time is 15.000000, and the loss is :462.437255
[2.6, 0.52]:task over, the time is 15.000000, and the loss is :529.482240
[2.6, 0.54]:task over, the time is 15.000000, and the loss is :471.070516
[2.6, 0.56]:task over, the time is 15.032000, and the loss is :587.561095
[2.6, 0.5800000000000001]:task over, the time is 15.000000, and the loss is :1087.031169
[2.8, 0.32]:task over, the time is 15.030000, and the loss is :472.066047
[2.8, 0.33999999999999997]:task over, the time is 15.000000, and the loss is :442.021292
[2.8, 0.36]:task over, the time is 15.002000, and the loss is :477.944328
[2.8, 0.38]:task over, the time is 15.032000, and the loss is :437.475541
[2.8, 0.4]:task over, the time is 15.032000, and the loss is :455.398070
